,in,out,TP,FP,TN,FN
0,2,1,3,21,73,11
1,3,1,3,21,71,13
2,4,1,7,17,68,16
3,5,1,4,20,69,15
4,6,1,7,17,68,16
5,7,1,8,16,68,16
6,8,1,7,17,73,11
7,9,1,9,15,69,15
8,10,1,8,16,68,16
9,11,1,6,18,73,11
10,12,1,10,14,67,17
11,13,1,15,9,72,12
12,14,1,12,12,75,9
13,15,1,15,9,74,10
14,16,1,11,13,77,7
15,17,1,10,14,78,6
16,18,1,10,14,76,8
17,19,1,11,13,76,8
18,20,1,16,8,81,2
19,21,1,17,7,80,3
20,22,1,12,12,83,0
21,23,1,15,9,83,0
22,24,1,13,11,83,0
23,25,1,16,8,81,2
24,26,1,23,1,81,2
25,27,1,13,10,79,4
26,28,1,15,8,74,9
27,29,1,18,5,77,6
28,30,1,9,14,78,5
29,3,2,0,24,77,6
30,4,2,0,24,74,9
31,5,2,10,14,39,44
32,6,2,0,24,71,12
33,7,2,0,24,81,2
34,8,2,6,18,72,11
35,9,2,1,23,82,1
36,10,2,2,22,68,15
37,11,2,5,19,71,12
38,12,2,6,18,73,10
39,13,2,4,20,78,5
40,14,2,4,20,71,12
41,15,2,5,19,66,17
42,16,2,4,20,74,9
43,17,2,0,24,83,0
44,18,2,4,20,80,3
45,19,2,5,19,75,8
46,20,2,4,20,79,4
47,21,2,5,19,80,3
48,22,2,7,17,74,9
49,23,2,4,20,79,4
50,24,2,2,22,83,0
51,25,2,4,20,80,3
52,26,2,10,14,76,6
53,27,2,12,12,77,5
54,28,2,1,23,81,1
55,29,2,12,12,76,6
56,30,2,10,14,76,6
57,4,3,1,23,80,2
58,5,3,1,23,76,6
59,6,3,1,23,71,11
60,7,3,0,24,74,8
61,8,3,0,24,78,4
62,9,3,0,24,78,4
63,10,3,1,23,69,13
64,11,3,1,23,81,1
65,12,3,0,24,71,11
66,13,3,0,24,69,13
67,14,3,0,24,79,3
68,15,3,1,23,76,6
69,16,3,0,24,80,2
70,17,3,0,24,82,0
71,18,3,0,24,82,0
72,19,3,0,24,78,4
73,20,3,0,24,74,8
74,21,3,0,24,74,8
75,22,3,3,21,71,11
76,23,3,0,24,82,0
77,24,3,0,24,78,4
78,25,3,0,24,82,0
79,26,3,1,23,81,1
80,27,3,4,20,73,9
81,28,3,0,24,82,0
82,29,3,3,21,68,14
83,30,3,2,22,76,6
84,5,4,0,24,80,1
85,6,4,0,24,79,2
86,7,4,0,24,79,2
87,8,4,0,24,80,1
88,9,4,0,24,81,0
89,10,4,0,24,77,4
90,11,4,3,21,67,14
91,12,4,1,23,75,6
92,13,4,0,24,80,1
93,14,4,0,24,79,2
94,15,4,0,24,81,0
95,16,4,0,24,79,2
96,17,4,0,24,81,0
97,18,4,0,24,81,0
98,19,4,0,24,81,0
99,20,4,3,21,62,19
100,21,4,0,24,81,0
101,22,4,0,24,81,0
102,23,4,3,21,78,3
103,24,4,0,24,80,1
104,25,4,1,23,78,3
105,26,4,1,23,79,2
106,27,4,9,15,51,30
107,28,4,0,24,77,4
108,29,4,3,21,70,11
109,30,4,0,24,81,0
110,6,5,1,23,79,1
111,7,5,0,24,80,0
112,8,5,2,22,72,8
113,9,5,0,24,70,10
114,10,5,1,23,78,2
115,11,5,2,22,68,12
116,12,5,5,19,74,6
117,13,5,0,24,80,0
118,14,5,0,24,80,0
119,15,5,0,24,80,0
120,16,5,3,21,75,5
121,17,5,0,24,80,0
122,18,5,0,24,80,0
123,19,5,0,24,78,2
124,20,5,3,21,74,6
125,21,5,0,24,80,0
126,22,5,0,24,80,0
127,23,5,0,24,80,0
128,24,5,0,24,80,0
129,25,5,3,21,69,11
130,26,5,3,21,70,10
131,27,5,0,24,78,2
132,28,5,0,24,71,9
133,29,5,0,24,77,3
134,30,5,1,23,75,5
135,7,6,0,24,74,5
136,8,6,0,24,79,0
137,9,6,3,21,69,10
138,10,6,0,24,79,0
139,11,6,0,24,79,0
140,12,6,0,24,79,0
141,13,6,0,24,78,1
142,14,6,0,24,79,0
143,15,6,0,24,79,0
144,16,6,0,24,79,0
145,17,6,0,24,79,0
146,18,6,0,24,79,0
147,19,6,0,24,79,0
148,20,6,3,21,63,16
149,21,6,0,24,77,2
150,22,6,0,24,79,0
151,23,6,0,24,79,0
152,24,6,0,24,68,11
153,25,6,0,24,79,0
154,26,6,0,24,79,0
155,27,6,0,24,77,2
156,28,6,3,21,70,9
157,29,6,3,21,65,14
158,30,6,0,24,77,2
159,8,7,0,24,78,0
160,9,7,0,24,74,4
161,10,7,0,24,78,0
162,11,7,0,24,78,0
163,12,7,0,24,78,0
164,13,7,3,21,70,8
165,14,7,3,21,64,14
166,15,7,3,21,70,8
167,16,7,0,24,78,0
168,17,7,3,21,67,11
169,18,7,3,21,61,17
170,19,7,0,24,78,0
171,20,7,0,24,78,0
172,21,7,0,24,78,0
173,22,7,3,21,55,23
174,23,7,0,24,78,0
175,24,7,3,21,58,20
176,25,7,0,24,78,0
177,26,7,0,24,78,0
178,27,7,0,24,78,0
179,28,7,0,24,76,2
180,29,7,3,21,65,13
181,30,7,1,23,78,0
182,9,8,0,24,77,0
183,10,8,0,24,77,0
184,11,8,0,24,77,0
185,12,8,0,24,77,0
186,13,8,0,24,77,0
187,14,8,0,24,77,0
188,15,8,0,24,77,0
189,16,8,3,21,64,13
190,17,8,0,24,77,0
191,18,8,8,16,58,19
192,19,8,0,24,77,0
193,20,8,0,24,77,0
194,21,8,7,17,67,10
195,22,8,0,24,65,12
196,23,8,0,24,77,0
197,24,8,3,21,60,17
198,25,8,0,24,77,0
199,26,8,10,14,51,26
200,27,8,3,21,59,18
201,28,8,3,21,59,18
202,29,8,0,24,77,0
203,30,8,0,24,77,0
204,10,9,0,24,76,0
205,11,9,0,24,65,11
206,12,9,0,24,76,0
207,13,9,6,18,58,18
208,14,9,0,24,76,0
209,15,9,0,24,71,5
210,16,9,0,24,76,0
211,17,9,3,21,59,17
212,18,9,0,24,76,0
213,19,9,0,24,76,0
214,20,9,0,24,76,0
215,21,9,3,21,66,10
216,22,9,0,24,76,0
217,23,9,7,17,61,15
218,24,9,0,24,76,0
219,25,9,0,24,76,0
220,26,9,0,24,76,0
221,27,9,12,12,55,21
222,28,9,0,24,76,0
223,29,9,0,24,76,0
224,30,9,0,24,76,0
225,11,10,0,24,66,9
226,12,10,0,24,75,0
227,13,10,0,24,69,6
228,14,10,0,24,75,0
229,15,10,0,24,75,0
230,16,10,4,20,58,17
231,17,10,0,24,62,13
232,18,10,0,24,75,0
233,19,10,4,20,65,10
234,20,10,0,24,75,0
235,21,10,0,24,75,0
236,22,10,3,21,59,16
237,23,10,10,14,45,30
238,24,10,0,24,75,0
239,25,10,0,24,75,0
240,26,10,0,24,70,5
241,27,10,0,24,75,0
242,28,10,1,23,72,3
243,29,10,3,21,63,12
244,30,10,10,14,49,26
245,12,11,3,21,61,13
246,13,11,2,22,67,7
247,14,11,0,24,70,4
248,15,11,3,21,66,8
249,16,11,0,24,74,0
250,17,11,2,22,60,14
251,18,11,0,24,74,0
252,19,11,0,24,74,0
253,20,11,2,22,67,7
